model,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_accuracy_mean,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean
logistic_regression_balanced,0.8191964285714286,0.4396551724137931,0.7611940298507462,0.5573770491803278,0.8916833157049399,0.819309284116331,0.4425534830150741,0.7843962008141112,0.5650508840122203,0.8969068133069097
logistic_regression,0.8861607142857143,0.6904761904761905,0.43283582089552236,0.5321100917431193,0.8871391076115486,0.8899758309364014,0.7092070549149894,0.4611035730438715,0.5569386228679821,0.8952509520363371
decision_tree_balanced,0.7767857142857143,0.35398230088495575,0.5970149253731343,0.4444444444444444,0.7756101382849532,0.7624990012783638,0.3606099421285781,0.7305744007236544,0.48033891353055846,0.8059024253582956
knn_k15,0.875,0.7037037037037037,0.2835820895522388,0.40425531914893614,0.8346456692913387,0.8711968680089486,0.6654086316908898,0.2813658977838082,0.394784769188169,0.8309514427885688
dummy_most_frequent,0.8504464285714286,0.0,0.0,0.0,0.5,0.8506261984659635,0.0,0.0,0.0,0.5
